spk_id,log_f0_rmse,stft_l2_dist,vuv_error
3570,0.085,0.854,9
3575,0.083,0.933,8
3576,0.081,0.854,8
3584,0.098,0.863,8
3607,0.106,0.93,8
3615,0.077,0.944,10
3630,0.086,0.858,7
3638,0.089,1.058,9
3645,0.083,0.864,9
3654,0.117,0.821,11
3664,0.159,0.828,6
3686,0.144,0.842,9
3699,0.132,0.837,11
3703,0.093,0.948,11
3717,0.113,0.832,14
3723,0.131,0.865,12
3728,0.072,0.916,8
3729,0.078,1.057,8
3733,0.13,0.954,11
3738,0.086,1.005,11
3752,0.129,0.842,11
3781,0.08,0.921,8
3790,0.092,0.858,9
3792,0.111,0.846,11
3807,0.072,0.943,9
3816,0.093,0.859,10
3825,0.129,0.816,8
3830,0.139,0.88,9
3835,0.13,0.827,11
3851,0.178,0.892,12
3852,0.077,0.847,8
3853,0.089,0.886,8
3857,0.095,0.844,13
3864,0.094,0.834,10
3866,0.151,0.877,12
3869,0.121,0.882,11
3876,0.149,0.847,9
3879,0.083,0.89,11
3889,0.147,0.863,12
3905,0.079,0.916,8
3914,0.162,0.876,13
3922,0.07,0.922,10
3923,0.103,0.868,11
3927,0.122,0.837,9
3945,0.058,0.851,9
3947,0.1,0.976,10
3967,0.094,0.811,8
3972,0.076,0.84,7
3977,0.07,0.835,8
3979,0.092,0.872,10
3982,0.083,0.872,10
3983,0.101,0.855,8
3989,0.077,0.872,7
3994,0.094,0.835,8
4010,0.158,0.838,11
4013,0.127,0.851,11
4014,0.165,0.865,9
4018,0.107,0.814,9
4039,0.135,0.874,13
4044,0.1,0.914,10
4051,0.085,0.892,10
4054,0.125,0.822,9
4057,0.084,0.953,9
4064,0.182,0.869,11
4071,0.157,1.115,19
4077,0.161,0.852,14
4088,0.095,0.903,9
4098,0.084,0.909,7
4108,0.118,0.88,11
4110,0.168,0.819,9
4111,0.083,0.876,8
4116,0.093,0.955,10
4133,0.127,0.864,9
4137,0.091,0.889,9
4138,0.088,0.857,7
4145,0.089,0.896,8
4148,0.146,0.875,10
4152,0.115,0.769,8
4160,0.086,0.838,6
4195,0.085,0.902,12
4214,0.096,0.852,6
4222,0.076,0.847,6
4226,0.132,0.817,9
4236,0.145,0.887,16
4238,0.113,0.861,10
4243,0.164,0.841,11
4246,0.152,0.828,12
4257,0.152,0.878,12
4260,0.091,0.834,9
4267,0.154,0.864,12
4278,0.112,0.81,8
4289,0.084,0.841,8
4290,0.14,0.837,10
4297,0.096,0.901,9
4331,0.077,0.878,8
4335,0.137,0.845,10
4340,0.087,0.902,10
4356,0.074,0.913,9
4358,0.105,0.867,11
4362,0.076,0.872,8
4363,0.096,0.882,13
4381,0.074,0.878,8
4397,0.131,0.813,10
4406,0.087,0.829,9
4425,0.106,0.833,11
4427,0.176,0.883,11
4433,0.107,3.783,7
4434,0.089,0.847,9
4438,0.138,0.845,13
4441,0.115,0.888,11
4446,0.103,0.844,9
4481,0.08,0.895,11
4490,0.09,0.881,9
4495,0.159,0.898,8
4507,0.101,0.902,11
4519,0.107,0.877,12
4535,0.156,0.987,14
4586,0.13,0.923,14
4590,0.077,1.113,18
4592,0.179,1.024,11
4595,0.138,0.824,8
4598,0.085,0.859,10
4629,0.139,0.842,13
4640,0.077,0.903,8
4680,0.146,0.852,11
4681,0.135,0.999,14
4719,0.078,0.807,6
